pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-174 b,Kepler-174,1,3,0,13.98179000,0.100000,1.960,0.175,4.50000,0.01420,M-R relationship,3.280000,0.000000,24.42,553,89.240,2455014.973510,0,0.2200,0.101840,2.9380000,37.150000,0.02893,,,,,,,,4880.00,0.62,0.60,-0.440,[M/H],-0.570,4.68,4.900,4.96160,,,
Kepler-174 c,Kepler-174,1,3,0,44.00052900,0.214000,1.490,0.133,2.83000,0.00889,M-R relationship,4.700000,0.000000,5.30,377,89.970,2455043.759080,0,0.1100,0.059960,5.1770000,66.490000,0.02192,,,,,,,,4880.00,0.62,0.60,-0.440,[M/H],-0.570,4.68,4.900,2.87230,,,
Kepler-174 d,Kepler-174,1,3,0,247.35373000,0.677000,2.190,0.195,5.43000,0.01710,M-R relationship,2.840000,0.000000,0.53,212,89.990,2455197.158750,0,0.0900,0.129180,8.7730000,224.600000,0.03238,,,,,,,,4880.00,0.62,0.60,-0.440,[M/H],-0.570,4.68,4.900,3.33950,,,
Kepler-175 b,Kepler-175,1,2,0,11.90351500,0.105000,2.560,0.228,7.08000,0.02230,M-R relationship,2.320000,0.000000,129.64,827,88.780,2455011.340820,0,0.0900,0.063300,4.2150000,17.800000,0.02341,,,,,,,,6064.00,1.01,1.12,0.100,[Fe/H],0.194,4.47,3.390,1.02936,,,
Kepler-175 c,Kepler-175,1,2,0,34.03525700,0.213000,3.100,0.277,9.80000,0.03080,M-R relationship,1.810000,0.000000,31.95,583,89.230,2454967.422900,0,0.8500,0.072780,7.0570000,20.700000,0.02525,,,,,,,,6064.00,1.01,1.12,0.100,[Fe/H],0.194,4.47,3.390,0.71902,,,
Kepler-176 b,Kepler-176,1,4,0,5.43307400,0.058000,1.430,0.128,2.63000,0.00829,M-R relationship,4.940000,0.000000,123.80,841,86.690,2454971.369670,0,0.0700,0.032820,2.4070000,17.720000,0.01476,,,,,,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,3.56337,,,
Kepler-176 c,Kepler-176,1,4,0,12.75971200,0.102000,2.600,0.232,23.00000,0.07200,Mass,7.190000,0.000000,39.63,633,88.250,2455003.310620,1,0.4700,0.088210,3.5410000,27.650000,0.02760,,,,,,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,2.45566,,,
Kepler-176 d,Kepler-176,1,4,0,25.75197400,0.163000,2.510,0.224,15.20000,0.04800,Mass,5.280000,0.000000,15.54,501,89.530,2454969.449510,1,0.6600,0.073890,2.8530000,34.000000,0.03027,,,,,,,,5232.00,0.89,0.79,0.160,[Fe/H],-0.404,4.47,13.700,7.12817,,,
Kepler-176 e,Kepler-176,1,4,0,51.16579000,0.249400,1.450,0.129,2.70000,0.00849,M-R relationship,4.870000,0.000000,6.22,398,89.080,2455005.308400,0,0.8170,0.025920,4.7150000,51.100000,0.01605,,,,,,,,5295.00,0.83,0.87,0.030,[Fe/H],-0.404,4.55,4.680,3.09428,,,
Kepler-177 b,Kepler-177,1,2,0,36.86010000,0.218400,3.500,0.312,5.84000,0.01837,Mass,0.750000,0.000000,30.40,549,89.930,2454971.906830,1,0.4740,0.071410,7.4950000,38.430000,0.02499,,,,,,,,5732.00,1.32,0.92,-0.110,[Fe/H],0.240,4.10,1.800,0.79060,,,
Kepler-177 c,Kepler-177,1,2,0,49.40926000,0.265500,8.730,0.779,14.70000,0.04625,Mass,0.121000,0.000000,25.40,497,88.795,2455031.238871,1,0.8848,0.364300,5.2430000,42.080000,0.06036,,,,,,,,5732.00,1.32,0.92,-0.110,[Fe/H],0.240,4.10,1.800,0.56415,,,
Kepler-178 b,Kepler-178,1,3,0,9.57669400,0.085000,2.900,0.259,8.75000,0.02750,M-R relationship,1.970000,0.000000,84.57,846,89.890,2455009.681270,0,0.4900,0.074680,3.3770000,22.293000,0.02488,,,,,,,,5676.00,1.07,0.94,0.180,[Fe/H],-0.208,4.33,11.300,2.32199,,,
Kepler-178 c,Kepler-178,1,3,0,20.55280200,0.142000,2.880,0.257,8.65000,0.02720,M-R relationship,1.990000,0.000000,30.55,656,89.470,2454978.026340,0,0.3700,0.072730,2.2050000,33.000000,0.02960,,,,,,,,5676.00,1.07,0.94,0.180,[Fe/H],-0.208,4.33,11.300,10.59769,,,
Kepler-178 d,Kepler-178,1,3,0,96.67898800,0.397000,3.950,0.352,14.80000,0.04650,M-R relationship,1.320000,0.000000,3.87,392,89.850,2454973.178420,1,0.8700,0.095130,6.2760000,126.000000,0.02804,,,,,,,,5676.00,1.07,0.94,0.180,[Fe/H],-0.208,4.33,11.300,4.04888,,,
Kepler-179 b,Kepler-179,1,2,0,2.73592600,0.036000,1.640,0.146,3.33000,0.01050,M-R relationship,4.150000,0.000000,360.26,1075,89.000,2455004.093820,0,0.5700,0.042890,1.9870000,10.778000,0.01870,,,,,,,,5302.00,0.76,0.84,0.123,[M/H],-0.278,4.61,0.600,3.16386,3.0000,,-32.82
Kepler-179 c,Kepler-179,1,2,0,6.40013000,0.064000,2.000,0.178,4.66000,0.01470,M-R relationship,3.200000,0.000000,115.98,810,85.830,2455007.023430,0,0.0300,0.074320,1.8420000,11.700000,0.02721,,,,,,,,5302.00,0.76,0.84,0.123,[M/H],-0.278,4.61,0.600,3.92897,3.0000,,-32.82
Kepler-18 b,Kepler-18,1,3,0,3.50472500,0.044700,2.000,0.178,6.90000,0.02200,Mass,4.900000,0.000000,355.74,1165,84.920,2454966.506800,1,0.7710,0.025400,2.0760000,8.580000,0.01656,,,,5.200,,,,5345.00,1.11,0.97,0.190,[Fe/H],-0.031,4.31,10.000,1.01000,4.0000,,
Kepler-18 c,Kepler-18,1,3,0,7.64159000,0.075200,5.490,0.490,17.30000,0.05400,Mass,0.590000,0.000000,126.08,899,87.680,2455167.088300,1,0.5930,0.228660,3.4872000,14.430000,0.04549,,,,5.100,,,,5345.00,1.11,0.97,0.190,[Fe/H],-0.031,4.31,10.000,1.01000,4.0000,,
Kepler-18 d,Kepler-18,1,3,0,14.85888000,0.117200,6.980,0.623,16.40000,0.05200,Mass,0.270000,0.000000,51.92,720,88.070,2455169.177600,1,0.7670,0.326500,3.6790000,22.480000,0.05782,,,,7.300,,,,5345.00,1.11,0.97,0.190,[Fe/H],-0.031,4.31,10.000,1.01000,4.0000,,
Kepler-180 b,Kepler-180,1,2,0,13.81712400,0.109000,1.500,0.134,2.86000,0.00899,M-R relationship,4.660000,0.000000,72.12,781,83.040,2454968.040280,0,0.1800,0.021870,3.7400000,25.400000,0.01345,,,,,,,,5731.00,1.06,0.95,0.030,[Fe/H],-0.132,4.34,9.700,2.24939,,,
Kepler-180 c,Kepler-180,1,2,0,41.88577500,0.229000,3.010,0.269,9.32000,0.02930,M-R relationship,1.880000,0.000000,16.42,540,87.620,2455011.687030,0,0.7500,0.068740,6.2410000,53.200000,0.02321,,,,,,,,5731.00,1.06,0.95,0.030,[Fe/H],-0.132,4.34,9.700,1.66339,,,
Kepler-181 b,Kepler-181,1,2,0,3.13787300,0.040000,1.270,0.113,2.15000,0.00678,M-R relationship,5.770000,0.000000,255.58,1041,87.720,2454966.555620,0,0.1600,0.030570,1.8880000,12.260000,0.01602,,,,,,,,5333.00,0.75,0.85,-0.023,[M/H],-0.379,4.62,0.500,3.54077,,,
Kepler-181 c,Kepler-181,1,2,0,4.30214900,0.049000,1.990,0.178,4.62000,0.01450,M-R relationship,3.220000,0.000000,168.19,937,87.090,2455006.437170,0,0.0500,0.074720,1.9650000,16.820000,0.02504,,,,,,,,5333.00,0.75,0.85,-0.023,[M/H],-0.379,4.62,0.500,4.86015,,,
Kepler-182 b,Kepler-182,1,2,0,9.82579200,0.096000,2.580,0.230,7.18000,0.02260,M-R relationship,2.300000,0.000000,239.79,935,83.030,2454964.424140,0,0.6800,0.043330,4.9610000,7.310000,0.02007,,,,,,,,6250.00,1.15,1.16,0.072,[M/H],0.344,4.40,3.090,0.19037,,,
Kepler-182 c,Kepler-182,1,2,0,20.68434200,0.157000,3.430,0.306,11.60000,0.03660,M-R relationship,1.580000,0.000000,88.85,729,88.740,2455003.188190,0,0.2900,0.085850,6.4160000,24.100000,0.02719,,,,,,,,6250.00,1.15,1.16,0.072,[M/H],0.344,4.40,3.090,0.37705,,,
