pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
K2-245 b,K2-245,1,1,0,11.89307000,0.095900,4.340,0.387,17.40000,0.05460,M-R relationship,1.170000,,,923,,2457587.552400,0,0.3800,0.107000,4.2000000,17.500000,0.03170,,,,,,,,5793.00,1.25,0.83,-0.450,[Fe/H],0.193,4.16,,1.01870,4.6200,,29.75
K2-246 b,K2-246,1,1,0,5.76918000,0.060200,3.490,0.311,12.00000,0.03770,M-R relationship,1.550000,,,977,,2457583.676100,0,0.4100,0.134000,3.4008000,11.100000,0.03410,,,,,,,,5610.00,0.94,0.87,-0.190,[Fe/H],-0.141,4.43,,1.68077,2.9000,,
K2-247 b,K2-247,1,2,0,2.25021000,0.030400,2.120,0.189,5.14000,0.01620,M-R relationship,2.960000,,,979,,2457582.977000,0,0.4300,0.100000,1.2000000,8.700000,0.02830,,,,,,,,4667.00,0.69,0.74,-0.080,[Fe/H],-0.833,4.63,,2.03810,,,
K2-247 c,K2-247,1,2,0,6.49424000,0.061500,2.190,0.195,5.43000,0.01710,M-R relationship,2.840000,,,688,,2457588.136900,0,0.4100,0.110000,1.6992000,18.200000,0.02920,,,,,,,,4667.00,0.69,0.74,-0.080,[Fe/H],-0.833,4.63,,2.03810,,,
K2-248 b,K2-248,1,1,0,7.17256000,0.069900,2.570,0.229,7.13000,0.02240,M-R relationship,2.310000,,,886,,2457588.104200,0,0.4000,0.070000,2.8008000,16.200000,0.02550,,,,,,,,5528.00,0.92,0.88,-0.100,[Fe/H],-0.171,4.45,,1.82647,2.6000,,
K2-249 b,K2-249,1,1,0,12.40900000,0.115100,2.790,0.249,8.20000,0.02580,M-R relationship,2.070000,,,1061,,2457583.045700,0,0.4100,0.024000,5.8992000,14.500000,0.01620,,,,,,,,6504.00,1.57,1.32,0.040,[Fe/H],0.366,4.16,,0.31728,,,-23.71
K2-25 b,K2-25,1,1,0,3.48455200,,3.430,0.306,11.60000,0.03660,M-R relationship,1.580000,0.270000,,,88.300,2457062.579350,0,0.6000,0.660000,0.7900000,,0.10650,,,62.0000,,,,M4.5,3180.00,0.29,0.29,0.150,[Fe/H],-2.076,4.94,,15.90000,7.8000,,38.64
K2-250 b,K2-250,1,1,0,4.01457000,0.045900,2.440,0.218,6.53000,0.02050,M-R relationship,2.470000,,,958,,2457584.121200,0,0.4100,0.102000,2.4000000,12.300000,0.02760,,,,,,,,5172.00,0.81,0.80,-0.090,[Fe/H],-0.404,4.53,,1.89682,2.2000,,
K2-251 b,K2-251,1,1,0,9.30075000,0.069400,2.350,0.210,6.12000,0.01930,M-R relationship,2.590000,,,437,,2457589.078200,0,0.4400,0.214000,2.7000000,20.600000,0.04370,,,,,,,,3717.00,0.49,0.52,-0.040,[Fe/H],-1.415,4.76,,5.74380,,,
K2-252 b,K2-252,1,1,0,13.81513000,0.104100,1.740,0.155,3.68000,0.01160,M-R relationship,3.840000,,,639,,2457596.190100,0,0.4100,0.036000,3.6000000,25.700000,0.01930,,,,,,,,5152.00,0.82,0.79,-0.090,[Fe/H],-0.402,4.50,,2.04024,2.2000,,13.72
K2-253 b,K2-253,1,1,0,4.00167000,0.050600,12.670,1.130,,,Msini,,,,1238,,2457583.999300,0,0.3400,1.259000,2.1000000,13.900000,0.10500,,,,,,,,6027.00,1.10,1.08,0.000,[Fe/H],-0.072,4.39,,1.01569,,,
K2-254 b,K2-254,1,2,0,4.09639000,0.044800,1.630,0.145,3.29000,0.01040,M-R relationship,4.170000,,,791,,2457582.975700,0,0.7200,0.052000,1.6008000,15.800000,0.02230,,,,,,,,4629.00,0.67,0.71,-0.140,[Fe/H],-0.765,4.64,,2.71073,,,
K2-254 c,K2-254,1,2,0,12.11839000,0.092300,2.190,0.195,5.43000,0.01710,M-R relationship,2.840000,,,551,,2457590.613600,0,0.4200,0.120000,2.4000000,31.300000,0.02980,,,,,,,,4629.00,0.67,0.71,-0.140,[Fe/H],-0.765,4.64,,2.71073,,,
K2-255 b,K2-255,1,1,0,1.96417000,0.027400,2.900,0.259,8.75000,0.02750,M-R relationship,1.970000,,,1034,,2457583.301500,0,0.4400,0.183000,1.0992000,9.100000,0.03860,,,,,,,,4676.00,0.69,0.71,-0.140,[Fe/H],-0.720,4.62,,1.94835,2.4600,,
K2-256 b,K2-256,1,1,0,5.52011000,0.057800,2.630,0.235,7.41000,0.02330,M-R relationship,2.240000,,,845,,2457586.524700,0,0.4200,0.097000,3.6000000,7.600000,0.03090,,,,,,,,5219.00,0.78,0.84,-0.100,[Fe/H],-0.465,4.58,,3.60257,,,
K2-257 b,K2-257,1,1,0,1.60588000,0.021600,0.830,0.074,0.49800,0.00157,M-R relationship,4.790000,,,789,,2457583.287500,0,0.4000,0.034000,1.3008000,8.200000,0.01530,,,,,,,,3725.00,0.50,0.52,-0.030,[Fe/H],-1.381,4.76,,5.56654,,,12.59
K2-258 b,K2-258,1,1,0,19.09210000,0.149000,3.000,0.268,9.27000,0.02920,M-R relationship,1.890000,,,831,,2457586.292800,0,0.3700,0.049000,6.0000000,21.500000,0.02100,,,,,,,,6351.00,1.31,1.21,0.010,[Fe/H],0.272,4.29,,0.56600,,,
K2-259 b,K2-259,1,1,0,15.48043000,0.127100,2.320,0.207,5.99000,0.01890,M-R relationship,2.640000,,,795,89.027,2457585.709400,0,0.4100,0.037000,4.2000000,29.900000,0.01890,,,,,,,,6059.00,1.13,1.14,0.160,[Fe/H],0.179,4.39,,1.00719,5.2300,,
K2-26 b,K2-26,1,1,0,14.56650000,0.096200,2.670,0.238,7.61000,0.02390,M-R relationship,2.200000,,5.80,430,88.400,2456775.165900,0,0.5700,0.258900,4.7300000,20.700000,0.04710,,,,,,,M1.0 V,3785.00,0.52,0.56,-0.130,[Fe/H],-1.310,4.72,1.000,3.92000,,,95.34
K2-260 b,K2-260,1,1,0,2.62666570,0.040400,17.396,1.552,451.31860,1.42000,Mass,0.500000,0.000000,,1957,88.670,2457820.738135,0,0.1220,0.947000,4.1676000,5.291000,0.09731,,2457820.738135,90.0000,178.000,,,F6 V,6367.00,1.69,1.39,-0.140,[Fe/H],0.543,4.15,1.900,0.40050,16.0000,,29.07
K2-261 b,K2-261,1,1,0,11.63344000,0.102000,9.528,0.850,70.87609,0.22300,Mass,0.483000,0.390000,,1080,88.400,2457906.840840,0,0.2700,0.280100,5.1120000,13.300000,0.05293,,2457907.580000,143.0000,18.800,,,G7 IV/V,5537.00,1.65,1.10,0.360,[Fe/H],0.372,4.21,8.800,0.35000,2.8000,,3.28
K2-263 b,K2-263,1,1,0,50.81894700,0.257300,2.410,0.215,14.80000,0.04657,Mass,5.700000,0.140000,,470,89.240,2458111.127400,0,0.8400,0.058200,3.4872000,64.700000,0.02600,,,,2.820,,,G9 V,5368.00,0.85,0.88,-0.080,[m/H],-0.260,4.51,7.000,2.02000,2.0000,,30.00
K2-264 b,K2-264,1,2,0,5.84000200,0.050230,2.231,0.199,5.61000,0.01760,M-R relationship,2.780000,0.500000,,496,89.010,2458102.591770,0,0.4000,,1.8840000,22.840000,0.04318,,,,,,,M2.5 V,3660.00,0.47,0.50,-0.013,[Fe/H],-1.481,4.78,,6.61000,,22.20,26.00
K2-264 c,K2-264,1,2,0,19.66030200,0.112830,2.668,0.238,7.60000,0.02390,M-R relationship,2.200000,0.450000,,331,89.380,2458117.091690,0,0.5500,,2.6180000,51.300000,0.05164,,,,,,,M2.5 V,3660.00,0.47,0.50,-0.013,[Fe/H],-1.481,4.78,,6.61000,,22.20,26.00
K2-265 b,K2-265,2,1,0,2.36917200,0.033760,1.710,0.153,6.54000,0.02058,Mass,7.100000,0.084000,,,87.700,2456981.643100,0,0.3000,0.031940,2.2660000,7.283787,0.01604,,,,3.340,,,G8 V,5477.00,0.98,0.92,0.078,[Fe/H],-0.180,4.42,9.700,0.98000,,,-18.19
K2-266 b,K2-266,2,4,0,0.65852400,0.013060,3.300,0.294,11.26782,0.03545,Msin(i)/sin(i),1.770000,,879.50,1515,75.320,2457949.674700,0,1.0110,0.180000,0.3333600,4.000000,0.04300,,2457945.723500,,10.300,,,,4285.00,0.70,0.69,-0.120,[Fe/H],-0.823,4.58,,2.79000,,,10.85
K2-266 c,K2-266,2,4,0,7.81400000,0.067900,0.705,0.063,0.29013,0.00091,Msin(i)/sin(i),4.510000,0.042000,32.40,664,88.280,2457946.651000,0,0.6000,0.008500,2.2560000,20.800000,0.00920,,2457907.600000,87.0000,0.119,,,,4285.00,0.70,0.69,-0.120,[Fe/H],-0.823,4.58,,2.79000,,,10.85
K2-266 d,K2-266,2,4,0,14.69700000,0.103500,2.930,0.261,8.90000,0.02800,Mass,2.030000,0.047000,13.95,538,89.460,2457944.839300,1,0.2900,0.146500,3.4080000,31.700000,0.03827,,2457944.800000,87.0000,3.170,,,,4285.00,0.70,0.69,-0.120,[Fe/H],-0.823,4.58,,2.79000,,,10.85
K2-266 e,K2-266,2,4,0,19.48200000,0.124900,2.730,0.244,14.30000,0.04499,Mass,2.210000,0.043000,9.58,490,89.450,2457938.541000,1,0.3600,0.127000,3.6648000,38.200000,0.03564,,2457938.600000,89.0000,2.530,,,,4285.00,0.70,0.69,-0.120,[Fe/H],-0.823,4.58,,2.79000,,,10.85
K2-268 b,K2-268,1,2,0,2.15189400,0.030800,1.410,0.126,2.57000,0.00809,M-R relationship,5.040000,,,1121,,2457143.651970,0,0.4300,0.039800,2.4240000,7.960000,0.01670,,,,,,,,5068.00,0.78,0.84,0.030,[Fe/H],-0.471,4.59,,2.29940,,,
K2-268 c,K2-268,1,2,0,9.32684100,0.081900,2.690,0.240,7.70000,0.02420,M-R relationship,2.170000,,,688,88.710,2457150.172200,0,0.4400,0.123900,2.8104000,23.410000,0.03180,,,,,,,,5068.00,0.78,0.84,0.030,[Fe/H],-0.429,4.59,,2.29940,,,
K2-269 b,K2-269,1,1,0,4.14496500,0.053100,1.570,0.140,3.09000,0.00972,M-R relationship,4.390000,,,1429,86.720,2457141.598550,0,0.4200,0.007800,2.7096000,10.070000,0.01000,,,,,,,,6209.00,1.45,1.16,-0.080,[Fe/H],0.468,4.18,,1.13000,,,-3.20
K2-27 b,K2-27,3,1,0,6.77131500,0.067020,4.480,0.400,30.90000,0.09722,Mass,1.870000,0.251000,116.00,902,88.871,2456812.844840,0,0.3000,0.280400,2.8020000,16.500000,0.04740,,,,11.800,,,,5248.00,0.89,0.87,0.130,[Fe/H],-0.270,4.48,10.300,2.04000,2.3000,,-37.77
K2-270 b,K2-270,1,2,0,1.54306900,0.024700,1.380,0.123,2.48000,0.00780,M-R relationship,5.190000,,,1203,,2457142.419980,0,0.4200,0.028600,1.6440000,6.040000,0.01640,,,,,,,,4877.00,0.77,0.85,0.260,[Fe/H],-0.558,4.59,,1.88623,,,
K2-270 c,K2-270,1,2,0,4.40002800,0.049700,2.950,0.263,9.01000,0.02830,M-R relationship,1.930000,,,848,,2457142.975100,0,0.3800,0.168200,1.5600000,20.940000,0.03500,,,,,,,,4877.00,0.77,0.85,0.260,[Fe/H],-0.518,4.59,,1.88623,,,
K2-271 b,K2-271,1,1,0,8.56242100,0.077000,7.280,0.649,41.80000,0.13100,M-R relationship,0.595000,,,893,,2457149.712710,0,0.3000,0.551300,3.2400000,20.690000,0.06740,,,,,,,,5644.00,0.99,0.83,-0.300,[Fe/H],-0.050,4.37,,2.28400,,,
K2-272 b,K2-272,1,1,0,14.45353300,0.108100,2.910,0.260,8.80000,0.02770,M-R relationship,1.960000,,,655,,2457144.858640,0,0.3900,0.122500,3.2200000,30.540000,0.03290,,,,,,,,5419.00,0.81,0.81,-0.280,[Fe/H],-0.302,4.53,,2.57700,,,
K2-273 b,K2-273,1,1,0,11.71633200,0.097400,4.420,0.394,17.90000,0.05630,M-R relationship,1.140000,,,672,90.000,2457149.101170,0,0.9600,0.143400,4.8720000,6.480000,0.04840,,,,,,,,5200.00,0.84,0.90,0.200,[Fe/H],-0.353,4.55,,0.03700,,,
K2-274 b,K2-274,1,1,0,14.12971400,0.106400,2.200,0.196,5.48000,0.01720,M-R relationship,2.830000,,,589,89.440,2457145.121090,0,0.3900,0.097400,3.6480000,31.540000,0.02720,,,,,,,,5065.00,0.74,0.81,-0.130,[Fe/H],-0.509,4.61,,2.98000,,,
K2-275 b,K2-275,1,2,0,3.28096100,0.040000,2.240,0.200,5.65000,0.01780,M-R relationship,2.760000,,,905,88.019,2457142.133430,0,0.4100,0.096800,1.9296000,12.280000,0.02830,,,,,,,,4812.00,0.73,0.79,0.000,[Fe/H],-0.593,4.61,,2.73722,,,-7.35
K2-275 c,K2-275,1,2,0,8.43875600,0.075000,2.340,0.209,6.08000,0.01910,M-R relationship,2.610000,,,660,,2457142.487820,0,0.3500,0.109500,2.3400000,26.780000,0.02960,,,,,,,,4812.00,0.73,0.79,0.000,[Fe/H],-0.593,4.61,,2.73722,,,-7.35
K2-276 b,K2-276,1,1,0,18.71826900,0.129100,3.770,0.336,13.70000,0.04300,M-R relationship,1.400000,,,583,,2457151.876530,0,0.3800,0.181600,6.8880000,21.070000,0.04050,,,,,,,,5139.00,0.85,0.82,0.070,[Fe/H],-0.405,4.49,,0.50500,,,
K2-277 b,K2-277,1,1,0,6.32676300,0.067500,2.070,0.185,4.94000,0.01550,M-R relationship,3.060000,,,958,88.686,2457221.229580,0,0.4100,0.045000,1.9440000,24.450000,0.01960,,,,,,,,5741.00,0.97,1.02,0.110,[Fe/H],-0.052,4.48,,6.93600,,,7.52
K2-278 b,K2-278,1,1,0,3.33496600,0.048800,2.980,0.266,9.17000,0.02880,M-R relationship,1.900000,,,1711,,2457219.822940,0,0.4300,0.037400,3.9360000,6.240000,0.01690,,,,,,,,6747.00,1.61,1.40,0.000,[Fe/H],0.399,4.17,,0.41300,,,
K2-279 b,K2-279,1,1,0,7.12260500,0.067000,1.210,0.108,1.92000,0.00606,M-R relationship,5.960000,,,879,,2457222.132780,0,0.5400,0.020700,3.0720000,14.450000,0.01290,,,,,,,,5558.00,0.86,0.79,-0.370,[Fe/H],-0.205,4.46,,1.13000,,,3.29
K2-28 b,K2-28,1,1,0,2.26045500,0.021400,2.320,0.207,5.99000,0.01890,M-R relationship,2.640000,0.000000,30.10,568,88.900,2456977.990120,0,0.3600,0.675000,0.9816000,17.900000,0.07370,,,0.0000,,,,M4,3214.00,0.29,0.26,0.260,[Fe/H],-1.940,4.93,,15.20000,,,
K2-280 b,K2-280,1,1,0,19.89520200,0.148800,7.670,0.684,45.60000,0.14400,M-R relationship,0.555000,,,744,88.588,2457327.475920,0,0.4500,0.346300,8.2776000,17.560000,0.05470,,,,,,,,5742.00,1.28,1.11,0.300,[Fe/H],0.140,4.26,,0.25900,,,-0.15
K2-281 b,K2-281,1,1,0,8.68772100,0.077300,8.180,0.730,50.90000,0.16000,M-R relationship,0.511000,,,665,,2457393.882080,0,0.2300,1.238800,2.7504000,25.900000,0.09870,,,,,,,,4812.00,0.76,0.82,0.220,[Fe/H],-0.647,4.59,,4.35400,,,
K2-282 b,K2-282,1,2,0,4.16983600,0.049900,2.820,0.252,8.35000,0.02630,M-R relationship,2.050000,,,1057,,2457394.999300,0,0.4000,0.093500,2.7312000,10.990000,0.02750,,,,,,,,5523.00,0.94,0.95,0.150,[Fe/H],-0.215,4.47,,1.44200,,,
K2-283 b,K2-283,1,1,0,1.92103600,0.029100,3.520,0.314,12.20000,0.03830,M-R relationship,1.540000,,,1186,,2457394.909010,0,0.3700,0.196700,1.7496000,8.230000,0.03930,,,,,,,,5060.00,0.82,0.89,0.280,[Fe/H],-0.524,4.56,,2.86100,,,
K2-284 b,K2-284,1,1,0,4.79506900,0.047710,2.780,0.248,8.15000,0.02560,M-R relationship,2.080000,0.078000,42.60,653,89.000,2457859.113160,0,0.2800,,2.1470000,16.840000,0.04200,,,180.2000,,,,,4140.00,0.61,0.63,0.000,[Fe/H],-1.013,4.67,0.120,3.91000,3.5400,8.88,16.96
K2-285 b,K2-285,1,4,0,3.47174500,0.038170,2.590,0.231,9.68000,0.03046,Mass,3.070000,0.000000,234.31,1089,86.846,2457743.375450,0,0.5700,0.097000,2.1800000,10.430000,0.03013,,,,4.620,,,K2 V,4975.00,0.79,0.83,0.000,[Fe/H],-0.422,4.40,,2.51200,3.9000,,15.88
K2-285 c,K2-285,1,4,0,7.13804800,0.082400,3.530,0.315,15.68000,0.04933,Mass,1.950000,0.000000,50.35,741,89.861,2457744.539060,0,0.0500,0.210000,2.5200000,22.510000,0.04115,,,,5.900,,,K2 V,4975.00,0.79,0.83,0.000,[Fe/H],-0.422,4.40,,2.51200,3.9000,,15.88
K2-285 d,K2-285,1,4,0,10.45582000,0.117800,2.480,0.221,6.50000,0.02045,Mass,,0.000000,24.61,620,89.643,2457745.201000,0,0.2000,0.100000,2.5040000,32.200000,0.02890,,,,0.680,,,K2 V,4975.00,0.79,0.83,0.000,[Fe/H],-0.422,4.40,,2.51200,3.9000,,15.88
K2-285 e,K2-285,1,4,0,14.76289000,0.180410,1.950,0.174,10.70000,0.03367,Mass,,0.000000,10.50,501,89.799,2457741.896900,0,0.1700,0.068000,2.3000000,49.430000,0.02270,,,,1.690,,,K2 V,4975.00,0.79,0.83,0.000,[Fe/H],-0.422,4.40,,2.51200,3.9000,,15.88
K2-286 b,K2-286,1,1,0,27.35900000,0.176800,2.100,0.187,5.06000,0.01590,M-R relationship,3.000000,,,347,89.670,2458010.417000,0,0.3500,0.112000,3.0000000,63.000000,0.03150,,,,,,,M0 V,3926.00,0.62,0.64,0.000,[Fe/H],-1.046,4.70,,3.41329,,23.80,-17.41
K2-287 b,K2-287,1,1,0,14.89329100,0.120600,9.494,0.847,100.11645,0.31500,Mass,0.643000,0.478000,,804,88.130,2458001.721380,0,,,,23.870000,0.08014,,,10.1000,28.800,,,,5695.00,1.07,1.06,0.200,[Fe/H],-0.108,4.40,4.500,1.21700,3.2000,,32.93
K2-288 B b,K2-288 B,2,1,0,31.39346300,0.164000,1.900,0.170,4.27000,0.01340,M-R relationship,3.420000,,,226,89.810,2457063.402366,0,0.3700,0.153100,2.1120000,110.200000,0.04900,,,,,,,M3 V,3341.00,0.32,0.33,-0.210,[Fe/H],-1.930,4.96,1.000,14.20000,,,71.60
K2-289 b,K2-289,1,1,0,13.15696900,0.107000,9.100,0.812,61.00000,0.19200,M-R relationship,0.445000,,,753,88.480,2456897.143250,0,0.6000,0.761900,4.0320000,22.500000,0.08100,,,,,,,,5529.00,1.02,0.95,0.162,[Fe/H],-0.505,4.39,,1.24000,,,
K2-29 b,K2-29,2,1,0,3.25883210,0.042170,13.339,1.190,232.01590,0.73000,Mass,0.530000,0.066000,293.00,1171,86.656,2453219.009500,0,0.5800,1.901100,2.2200000,10.510000,0.14188,,2457383.430000,132.0000,103.500,1.50,,G7 V,5358.00,0.86,0.94,0.160,[Fe/H],-0.295,4.54,2.600,2.90000,3.7000,10.79,32.88
K2-290 b,K2-290,3,2,0,9.21165000,0.092300,3.060,0.273,10.90000,0.03430,Mass,4.100000,0.000000,,1230,88.140,2457994.772500,0,0.4380,,4.9600000,13.150000,0.01900,,,90.0000,3.300,,,,6302.00,1.51,1.19,-0.060,[Fe/H],0.420,4.23,4.000,0.48500,6.5000,,19.76
K2-290 c,K2-290,3,2,0,48.36685000,0.305000,11.276,1.006,246.00042,0.77400,Mass,1.010000,0.000000,,676,89.370,2458019.173330,0,0.4740,,8.1400000,43.500000,0.06848,,,90.0000,38.400,,,,6302.00,1.51,1.19,-0.060,[Fe/H],0.420,4.23,4.000,0.48500,6.5000,,19.76
K2-291 b,K2-291,1,1,0,2.22517700,0.032610,1.589,0.142,6.49000,0.02042,Mass,8.840000,0.000000,633.00,,85.260,2457830.061630,0,0.6460,,1.7190000,7.794200,0.01614,,,0.0000,3.330,,,,5520.00,0.90,0.93,0.080,[Fe/H],-0.166,4.50,3.720,1.77000,2.0000,,25.13
K2-292 b,K2-292,1,1,0,16.98410000,0.130000,2.630,0.235,24.50000,0.07709,Mass,7.400000,0.040000,67.00,795,88.400,2458180.284200,0,0.6800,,3.6600000,25.900000,0.02200,,,104.0000,6.100,,,G3 V,5725.00,1.09,1.00,0.070,[Fe/H],0.093,4.33,6.800,1.14000,4.6000,,-28.18
K2-293 b,K2-293,1,1,0,13.12250000,,2.450,0.219,6.57000,0.02070,M-R relationship,2.450000,,,750,88.800,2457749.134700,0,0.4700,,3.9800000,22.900000,0.02280,,,,,,,,5532.00,0.95,0.96,0.218,[M/H],-0.180,4.52,,1.68821,,,
K2-294 b,K2-294,1,1,0,2.50387000,,1.660,0.148,3.39000,0.01070,M-R relationship,4.070000,,,1425,85.500,2457740.009300,0,0.5100,,2.6000000,6.490000,0.01262,,,,,,,,5612.00,1.20,0.99,0.194,[M/H],0.088,4.20,,0.89260,,,42.93
K2-295 b,K2-295,1,1,0,4.02486700,0.045100,10.054,0.897,106.47305,0.33500,Mass,0.612000,0.000000,,852,89.300,2457395.414050,0,0.1700,2.187800,2.4984000,13.760000,0.13040,,,,54.000,,,K5 V,4444.00,0.70,0.74,0.140,[Fe/H],-0.716,4.63,,3.04300,2.2000,,-16.62
K2-3 b,K2-3,1,3,0,10.05462600,0.074000,1.980,0.177,6.48000,0.02039,Mass,3.700000,0.000000,5.80,504,89.588,2456813.418430,0,0.2200,0.141600,2.5630000,30.020000,0.03440,,,0.0000,2.720,,,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-0.320,[Fe/H],-1.150,4.73,1.000,5.05000,,40.00,30.48
K2-3 c,K2-3,1,3,0,24.64658200,0.134500,1.560,0.139,2.14000,0.00673,Mass,2.980000,0.000000,1.77,374,89.905,2456812.280180,0,0.0900,0.082200,3.4280000,54.570000,0.02590,,,0.0000,0.670,,,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-0.320,[Fe/H],-1.150,4.73,1.000,5.05000,,40.00,30.48
K2-3 d,K2-3,1,3,0,44.55646000,0.209700,1.530,0.136,2.80000,0.00881,Mass,5.620000,0.000000,0.80,282,89.788,2456826.223460,0,0.3000,0.078200,4.1700000,80.980000,0.02440,,,0.0000,0.710,,,M0.0&plusmn0.5 V,3896.00,0.56,0.60,-0.320,[Fe/H],-1.150,4.73,1.000,5.05000,,40.00,30.48
K2-30 b,K2-30,1,1,0,4.09850300,0.048390,11.646,1.039,184.02357,0.57900,Mass,0.640000,0.000000,299.00,1092,86.920,2457063.807140,0,0.6620,1.603000,2.3208000,12.340000,0.12660,,,120.0000,78.700,,,G6 V,5425.00,0.84,0.90,-0.150,[Fe/H],-0.256,4.54,3.900,2.11000,1.4000,,35.43
K2-308 b,K2-308,1,1,0,3.38628000,,9.916,0.884,70.60000,0.22200,M-R relationship,0.398000,,,,88.440,2457823.223300,0,0.2100,,3.0900000,7.940000,0.07420,,,,,,,,6100.00,1.24,1.09,-0.100,[Fe/H],0.283,3.94,,,29.0000,,8.97
K2-31 b,K2-31,2,1,0,1.25785000,0.022000,11.882,1.060,563.83042,1.77400,Mass,1.850000,0.000000,1272.00,,79.900,2457191.708890,0,0.9750,0.716000,0.9816000,6.050000,0.13500,,,,350.900,,,G7 V,5280.00,0.78,0.91,0.080,[Fe/H],-0.110,4.60,,1.19289,2.6000,18.38,-4.75
K2-315 b,K2-315,1,1,0,3.14431890,,0.950,0.085,0.80900,0.00254,M-R relationship,5.180000,,7.45,460,88.740,2457990.862000,0,0.5650,,0.8210000,25.720000,0.04440,,,,,,,M(3.5+/-0.5) V,3300.00,0.20,0.17,-0.240,[Fe/H],-2.387,5.09,1.000,32.60000,5.0000,,6.25
K2-316 b,K2-316,1,2,0,1.13300000,0.014700,1.330,0.119,2.33000,0.00733,M-R relationship,5.440000,,,841,87.020,2457991.605000,0,0.4300,0.095700,,,,,,,,,,,3436.00,0.38,0.41,,,-1.830,4.89,,10.82654,,,
K2-316 c,K2-316,1,2,0,5.26000000,0.058200,1.830,0.163,4.01000,0.01260,M-R relationship,3.600000,,,423,89.310,2457994.123000,0,0.4000,0.248000,,,,,,,,,,,3436.00,0.38,0.41,,,-1.830,4.89,,10.82654,,,
K2-317 b,K2-317,1,1,0,6.22000000,0.054200,2.930,0.261,8.91000,0.02800,M-R relationship,1.950000,,,432,89.220,2457994.132000,0,0.4300,0.119000,,,,,,,,,,,3387.00,0.38,0.40,,,-1.871,4.88,,11.58286,,,
K2-318 b,K2-318,1,1,0,7.01000000,0.091100,1.660,0.148,3.39000,0.01070,M-R relationship,4.070000,,,456,89.380,2457997.194000,0,0.4000,0.085000,,,,,,,,,,,3851.00,0.55,0.56,,,-1.277,4.70,,4.49344,,,
K2-319 b,K2-319,1,1,0,26.68000000,0.151600,2.790,0.249,8.20000,0.02580,M-R relationship,2.070000,,,641,89.450,2457915.592000,0,0.3500,0.083000,,,,,,,,,,,5440.00,0.90,0.95,,,-0.237,4.51,,1.62082,,,8.64
K2-32 b,K2-32,2,4,0,8.99200000,0.079500,5.299,0.473,15.00000,0.04720,Mass,0.550000,0.030000,77.70,837,89.000,2456900.926760,0,0.3400,0.380200,3.4880000,19.860000,0.05642,,,220.0000,5.220,,,G9 V,5271.00,0.86,0.83,-0.060,[Fe/H],-0.296,4.49,7.900,1.83277,0.7000,,-2.20
K2-32 c,K2-32,2,4,0,20.66093000,0.138430,3.134,0.280,8.10000,0.02549,Mass,1.430000,0.049000,25.60,634,89.400,2456899.423440,0,0.3700,0.134600,4.3500000,34.580000,0.03342,,,168.0000,2.150,,,G9 V,5271.00,0.86,0.83,-0.060,[Fe/H],-0.488,4.49,7.900,1.83277,0.7000,,-2.20
K2-32 d,K2-32,2,4,0,31.71701000,0.184220,3.484,0.311,6.70000,0.02108,Mass,0.870000,0.050000,14.50,550,89.400,2456903.787070,0,0.4600,0.156200,4.8880000,46.020000,0.03704,,,185.0000,1.530,,,G9 V,5271.00,0.86,0.83,-0.060,[Fe/H],-0.488,4.49,7.900,1.83277,0.7000,,-2.20
K2-32 e,K2-32,2,4,0,4.34934000,0.048990,1.212,0.108,2.10000,0.00661,Mass,6.300000,0.043000,,1066,89.000,2456898.878630,0,0.2200,0.025500,2.6710000,12.240000,0.01294,,,205.0000,0.920,,,G9 V,5271.00,0.86,0.83,-0.060,[Fe/H],-0.488,4.49,7.900,1.83277,0.7000,,-2.20
K2-320 b,K2-320,1,1,0,1.99500000,0.014200,2.620,0.234,7.37000,0.02320,M-R relationship,2.250000,,,698,87.840,2457908.602000,0,0.4900,0.557000,,,,,,,,,,,3157.00,0.30,0.12,,,-2.125,4.55,,16.90184,,,
K2-321 b,K2-321,1,1,0,2.29800000,0.041000,1.950,0.174,4.46000,0.01400,M-R relationship,3.310000,,,701,88.940,2457909.170000,0,0.2800,0.110000,,,,,,,,,,,3855.00,0.58,0.60,,,-1.254,4.68,,3.97279,,,-43.90
K2-322 b,K2-322,1,1,0,8.20500000,0.059400,1.920,0.171,4.35000,0.01370,M-R relationship,3.380000,,,635,88.150,2457914.022000,0,0.6800,0.071000,,,,,,,,,,,4141.00,0.60,0.63,,,-1.039,4.68,,3.57867,,,4.18
K2-323 b,K2-323,1,1,0,24.93000000,0.127500,2.100,0.187,5.06000,0.01590,M-R relationship,3.000000,,,318,89.880,2457914.251000,0,0.1400,0.263000,,,,,,,,,,,3710.00,0.55,0.48,,,-1.339,4.63,,4.86477,,,
