pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
Kepler-788 b,1,1,0,8.39846269,0.083500,2.550,0.227,7.04000,0.02210,2.330000,0.000000,357.19,984,0,6159.00,1.23,1.16,0.050,0.336,4.32,3.020,0.10251,,,
Kepler-789 b,1,1,0,8.63847725,0.095100,2.120,0.189,5.14000,0.01620,2.960000,0.000000,312.34,1419,0,5870.00,1.02,1.01,-0.060,0.496,4.42,3.720,0.46008,,,
Kepler-79 b,1,4,0,13.48450000,0.117000,3.470,0.310,10.90000,0.03430,1.430000,0.015000,205.40,929,1,6174.00,1.30,1.17,-0.073,0.342,4.27,3.440,0.74100,,,
Kepler-79 c,1,4,0,27.40290000,0.187000,3.720,0.332,5.90000,0.01900,0.620000,0.030000,79.77,734,1,6174.00,1.30,1.17,-0.073,0.342,4.27,3.440,0.74100,,,
Kepler-79 d,1,4,0,52.09020000,0.287000,7.160,0.639,6.00000,0.01900,0.090000,0.025000,33.87,592,1,6174.00,1.30,1.17,-0.073,0.342,4.27,3.440,0.74100,,,
Kepler-79 e,1,4,0,81.06590000,0.386000,3.490,0.311,4.10000,0.01300,0.530000,0.012000,18.78,511,1,6174.00,1.30,1.17,-0.073,0.342,4.27,3.440,0.74100,,,
Kepler-790 b,1,1,0,13.73469807,0.101000,2.180,0.194,5.39000,0.01700,2.860000,0.000000,38.27,634,0,5208.00,0.80,0.84,-0.050,-0.424,4.56,4.900,9.48847,,,
Kepler-791 b,1,1,0,14.55397590,0.125600,3.050,0.272,9.53000,0.03000,1.850000,0.000000,140.06,939,0,6383.00,1.47,1.30,0.060,0.403,4.21,2.240,0.01771,,,
Kepler-792 b,1,1,0,11.30119217,0.098800,1.960,0.175,4.50000,0.01420,3.280000,0.000000,176.03,852,0,5971.00,1.12,1.09,0.080,0.274,4.38,3.390,1.52852,,,
Kepler-793 b,1,1,0,4.24153639,0.049100,1.370,0.122,2.45000,0.00771,5.240000,0.000000,617.41,1177,0,5745.00,0.97,0.98,0.000,0.110,4.46,4.270,0.95862,,,
Kepler-794 b,1,1,0,11.13125132,0.103600,2.110,0.188,5.10000,0.01600,2.980000,0.000000,299.97,952,0,5839.00,1.38,1.19,0.340,0.506,4.23,4.070,1.28479,,,
Kepler-795 b,2,1,0,29.61934210,0.181700,1.680,0.150,3.46000,0.01090,4.010000,0.000000,26.79,580,1,5631.00,0.96,0.94,-0.020,-0.022,4.45,6.460,1.24741,,,
Kepler-796 b,1,1,0,6.40087618,0.066200,1.300,0.116,2.24000,0.00705,5.600000,0.000000,962.26,1109,0,5475.00,1.09,0.93,0.090,0.572,4.33,11.750,3.55345,,,-32.69
Kepler-797 b,1,1,0,27.07237711,0.181000,2.170,0.194,5.35000,0.01680,2.880000,0.000000,90.10,605,1,5680.00,0.95,0.96,-0.020,0.470,4.47,3.890,0.72049,,,
Kepler-798 b,1,1,0,13.71933369,0.117400,2.390,0.213,6.30000,0.01980,2.540000,0.000000,141.89,864,0,6224.00,1.29,1.19,0.030,0.222,4.29,2.820,0.70442,,,
Kepler-799 b,1,1,0,133.46052350,0.516700,6.880,0.614,37.90000,0.11900,0.640000,0.000000,6.36,433,0,5681.00,0.93,0.95,-0.070,-0.090,4.49,3.980,0.82029,,,
Kepler-8 b,1,1,0,3.52249910,0.047400,15.872,1.416,187.51970,0.59000,0.270000,0.000000,1444.88,1680,0,6213.00,1.49,1.21,-0.055,0.605,4.17,3.470,0.65374,10.5000,,-52.72
Kepler-80 b,1,6,0,7.05246000,0.064800,2.670,0.238,6.93000,0.02180,1.380000,0.000000,54.38,547,1,4540.00,0.68,0.73,0.040,-0.770,4.64,2.000,2.33000,,,
Kepler-80 c,1,6,0,9.52355000,0.079200,2.740,0.244,6.74000,0.02121,1.220000,0.000000,36.48,495,1,4540.00,0.68,0.73,0.040,-0.770,4.64,2.000,2.33000,,,
Kepler-80 d,1,6,0,3.07222000,0.037200,1.530,0.136,6.75000,0.02124,7.040000,0.000000,164.62,722,1,4540.00,0.68,0.73,0.040,-0.770,4.64,2.000,2.33000,,,
Kepler-80 e,1,6,0,4.64489000,0.049100,1.600,0.143,4.13000,0.01299,3.750000,0.000000,94.78,629,1,4540.00,0.68,0.73,0.040,-0.770,4.64,2.000,2.33000,,,
Kepler-80 f,1,6,0,0.98678730,0.017500,1.210,0.108,1.92000,0.00606,5.960000,0.000000,750.96,1054,0,4540.00,0.68,0.73,0.040,-0.770,4.64,2.000,2.33000,,,
Kepler-80 g,1,6,0,14.64558000,,1.130,0.101,1.51000,0.00474,5.750000,,,418,0,4540.00,0.68,0.83,0.040,-0.767,4.64,2.000,2.33000,,,
Kepler-800 b,1,1,0,14.13176026,0.110600,2.850,0.254,8.50000,0.02670,2.020000,0.000000,44.87,675,0,5315.00,0.82,0.85,-0.090,-0.358,4.55,4.680,1.01560,,,
Kepler-801 b,1,1,0,11.41928253,0.079500,2.000,0.178,4.66000,0.01470,3.200000,0.000000,14.44,419,0,4435.00,0.63,0.67,-0.170,-0.798,4.66,3.550,1.51020,,,
Kepler-802 b,1,1,0,40.05874730,0.226500,3.540,0.316,12.30000,0.03860,1.520000,0.000000,13.51,489,0,5507.00,0.90,0.93,0.060,-0.226,4.50,4.680,0.49325,,,
Kepler-803 b,1,1,0,50.28638192,0.267800,3.790,0.338,13.80000,0.04340,1.390000,0.000000,20.88,543,0,5919.00,1.12,1.05,0.020,0.241,4.36,4.900,1.83680,,,
Kepler-804 b,1,2,0,14.37457351,0.113700,1.940,0.173,4.42000,0.01390,3.330000,0.000000,83.43,779,0,5817.00,1.05,1.01,0.000,0.050,4.40,5.250,1.15872,,,
Kepler-804 c,1,2,0,9.65185017,0.087200,1.140,0.102,1.55000,0.00489,5.750000,0.000000,141.84,890,0,5817.00,1.05,1.01,0.000,0.050,4.40,5.250,1.03417,,,
Kepler-805 b,1,1,0,30.86389310,0.197800,2.890,0.258,8.70000,0.02740,1.980000,0.000000,86.47,743,0,6112.00,1.65,1.19,-0.060,0.541,4.08,4.270,0.34859,,,-9.07
Kepler-806 b,1,1,0,8.09219642,0.076400,1.140,0.102,1.55000,0.00489,5.750000,0.000000,413.60,1089,0,5770.00,1.16,0.99,0.000,0.407,4.30,7.760,0.31224,,,-64.50
Kepler-807 b,1,1,0,117.93108781,0.488400,10.420,0.930,76.80000,0.24200,0.373000,0.000000,7.45,418,1,5965.00,1.06,1.04,-0.040,0.228,4.41,3.720,3.54676,,,
Kepler-808 b,1,1,0,0.63133235,0.011600,1.460,0.130,2.73000,0.00859,4.820000,0.000000,726.72,1322,0,4653.00,0.71,0.76,0.050,-0.684,4.62,1.950,4.17487,,,
