pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
K2-161 b,1,1,0,9.28318800,,6.117,0.546,31.10000,0.09780,0.747000,,,,0,4972.00,2.57,0.99,-0.030,0.919,3.63,,,,,-19.13
K2-162 b,1,1,0,9.45889000,0.079500,1.440,0.128,2.67000,0.00839,4.910000,,,631,0,4842.00,0.69,0.75,-0.170,-0.610,4.63,,1.97721,,,-30.70
K2-163 b,1,1,0,6.67311700,,2.466,0.220,6.65000,0.02090,2.440000,,,,0,4937.00,0.76,0.83,0.140,-0.541,4.71,,2.30261,,,22.27
K2-164 b,1,1,0,17.35506600,,3.249,0.290,10.60000,0.03340,1.700000,,,,0,5791.00,2.20,1.18,-0.230,0.590,3.81,,0.22794,,,-21.23
K2-165 b,1,3,0,2.35499200,,1.274,0.114,2.17000,0.00682,5.760000,,,,0,5185.00,0.80,0.83,-0.050,-0.370,4.46,,2.08241,,,-0.30
K2-165 c,1,3,0,4.38274500,,1.554,0.139,3.03000,0.00955,4.440000,,,,0,5185.00,0.80,0.83,-0.050,-0.370,4.46,,2.08241,,,-0.30
K2-165 d,1,3,0,14.10136100,,2.648,0.236,7.50000,0.02360,2.220000,,,,0,5185.00,0.80,0.83,-0.050,-0.370,4.46,,2.08241,,,-0.30
K2-166 b,1,2,0,8.52695000,0.085800,2.190,0.195,5.43000,0.01710,2.840000,,,1140,0,5960.00,1.61,1.16,0.090,0.462,4.09,,0.42293,,,
K2-167 b,1,1,0,9.97748100,,2.819,0.252,8.34000,0.02620,2.050000,,,,0,5908.00,1.83,1.02,-0.450,0.442,3.88,,0.51347,,,-17.38
K2-168 b,1,2,0,15.85230000,,1.860,0.166,4.12000,0.01300,3.520000,,,766,0,5502.70,0.83,0.88,-0.130,-0.176,4.46,,1.27040,,,-10.09
K2-169 b,1,1,0,6.38080300,,1.273,0.114,2.16000,0.00681,5.750000,,,,0,5548.00,0.92,0.99,0.260,-0.161,4.56,,1.49832,,,-8.15
K2-17 b,1,1,0,17.96753000,0.119000,2.230,0.199,5.60000,0.01760,2.770000,0.180000,4.91,487,0,4320.00,0.66,0.71,0.150,-0.910,4.80,,2.41242,,,-10.67
K2-170 b,1,2,0,7.57654400,,1.418,0.127,2.60000,0.00817,5.010000,,,,0,5748.00,0.98,0.96,-0.110,0.072,4.34,,1.26996,,,-5.31
K2-170 c,1,2,0,12.40004700,,1.802,0.161,3.90000,0.01230,3.660000,,,,0,5748.00,0.98,0.96,-0.110,0.072,4.34,,1.26996,,,-5.31
K2-171 b,1,1,0,5.62846600,,2.687,0.240,7.69000,0.02420,2.180000,,,,0,5250.00,1.72,0.89,-0.090,0.516,3.95,,,,,-9.97
K2-172 b,1,2,0,14.31694100,,1.666,0.149,3.42000,0.01070,4.060000,,,,0,5569.00,0.87,0.93,-0.060,-0.232,4.61,,2.18110,,,22.44
K2-172 c,1,2,0,29.62682000,,3.206,0.286,10.40000,0.03260,1.730000,,,,0,5569.00,0.87,0.93,-0.060,-0.202,4.61,,2.18110,,,22.44
K2-173 b,1,1,0,5.86869900,,1.608,0.143,3.22000,0.01010,4.250000,,,,0,5580.00,0.84,0.88,-0.250,-0.060,4.52,,1.38095,,,102.96
K2-174 b,1,1,0,19.56230700,0.126000,2.600,0.232,7.27000,0.02290,2.270000,,,455,0,4455.00,0.68,0.70,0.113,-0.773,4.62,,3.21000,,,-0.67
K2-175 b,1,1,0,9.52598800,,2.038,0.182,4.81000,0.01510,3.120000,,,,0,5909.00,1.42,1.09,0.050,0.419,4.11,,0.32560,,,-32.58
K2-176 b,1,1,0,5.32943900,,1.491,0.133,2.83000,0.00890,4.690000,,,,0,5428.00,0.86,0.94,0.150,-0.348,4.63,,1.28310,,,-27.30
K2-177 b,1,1,0,14.15518500,,2.116,0.189,5.13000,0.01610,2.970000,,,,0,6063.00,1.21,1.21,0.410,0.342,4.38,,0.33260,,,19.77
K2-178 b,1,1,0,8.74781800,,3.558,0.317,12.40000,0.03900,1.510000,,,,0,5525.00,0.89,0.95,0.090,-0.284,4.55,,2.14054,,,0.39
K2-179 b,1,1,0,5.17219100,,2.513,0.224,6.86000,0.02160,2.380000,,,,0,5015.00,0.77,0.82,0.030,-0.523,4.63,,3.34951,,,-1.93
K2-18 b,1,2,0,32.93962300,0.142900,2.370,0.211,8.92000,0.02807,4.110000,0.200000,1.00,284,0,3457.00,0.41,0.36,0.120,-1.597,4.79,,7.07318,,39.63,0.65
K2-18 c,1,2,1,8.96200000,0.060000,2.650,0.236,7.51000,0.02363,2.220000,0.470000,,363,0,3457.00,0.41,0.36,0.090,-1.597,4.79,,7.07318,,38.60,0.65
K2-180 b,1,1,0,8.86720900,0.075300,2.310,0.206,5.95000,0.01870,2.650000,,,731,0,5358.00,0.72,0.72,-0.540,-0.439,4.58,,3.37500,,,
K2-181 b,1,1,0,6.89425600,0.070600,2.840,0.253,8.45000,0.02660,2.030000,,,962,0,5608.00,1.07,0.99,0.230,-0.013,4.38,,2.63900,,,-60.38
K2-182 b,1,1,0,4.73683700,0.052900,2.760,0.246,8.05000,0.02530,2.100000,,,885,0,5165.00,0.80,0.88,0.090,-0.392,4.58,,2.25600,,,22.98
K2-183 b,1,3,0,0.46926900,,2.599,0.232,7.27000,0.02290,2.270000,,,,0,5482.00,0.87,0.94,0.090,-0.138,4.60,,1.47406,,,92.34
K2-183 c,1,3,0,10.79263500,0.093200,2.870,0.256,8.60000,0.02710,2.000000,,,787,0,5519.00,0.97,0.93,0.090,-0.132,4.43,,1.47406,,,92.34
K2-183 d,1,3,0,22.63196400,0.152700,2.860,0.255,8.55000,0.02690,2.010000,,,615,0,5519.00,0.97,0.93,0.090,-0.138,4.43,,1.47406,,,92.34
K2-184 b,1,1,0,16.99573100,0.122900,1.550,0.138,3.02000,0.00951,4.460000,,,580,0,5220.00,0.78,0.86,-0.070,-0.399,4.59,,6.96600,,,-33.64
K2-185 b,1,1,0,10.61664600,,1.313,0.117,2.28000,0.00717,5.540000,,,,0,5722.00,0.91,0.98,-0.050,-0.090,4.58,,2.10670,,,-7.04
K2-186 b,1,1,0,41.47421900,,3.172,0.283,10.20000,0.03210,1.760000,,,,0,5784.00,0.98,1.02,0.060,0.050,4.45,,1.18284,,,-13.70
K2-187 b,1,4,0,0.77392000,0.016400,1.300,0.116,2.24000,0.00705,5.600000,,,1815,0,5484.00,0.92,0.98,0.230,-0.210,4.50,,1.68230,,,
K2-187 c,1,4,0,2.87204200,0.039200,1.800,0.161,3.89000,0.01230,3.670000,,,1173,0,5484.00,0.92,0.98,0.230,-0.210,4.50,,1.68230,,,
K2-187 d,1,4,0,7.14921000,0.072000,3.170,0.283,10.20000,0.03200,1.760000,,,865,0,5484.00,0.92,0.98,0.230,-0.196,4.50,,1.68230,,,
K2-187 e,1,4,0,13.60987800,0.110600,2.380,0.212,6.26000,0.01970,2.550000,,,698,0,5484.00,0.92,0.98,0.230,-0.210,4.50,,1.68230,,,
K2-188 b,1,2,0,1.74216900,0.028900,1.350,0.120,2.39000,0.00752,5.340000,,,1692,0,5977.00,1.19,1.06,-0.010,0.184,4.31,,0.83646,,,-34.21
K2-188 c,1,2,0,7.81025300,0.078500,2.830,0.252,8.40000,0.02640,2.040000,,,1026,0,5977.00,1.19,1.06,-0.010,0.211,4.31,,0.83646,,,-34.21
K2-189 b,1,2,0,2.58830900,0.036100,1.520,0.136,2.92000,0.00920,4.570000,,,1197,0,5519.00,0.87,0.94,0.000,-0.239,4.53,,2.07235,,,15.96
K2-189 c,1,2,0,6.67919500,0.068000,2.500,0.223,6.80000,0.02140,2.390000,,,872,0,5519.00,0.87,0.94,0.000,-0.219,4.53,,2.07235,,,15.96
K2-19 b,1,3,0,7.91940000,0.074000,7.740,0.691,28.50000,0.08967,0.334000,0.119000,125.90,854,1,5430.00,0.86,0.93,0.100,-0.292,4.63,8.000,1.76000,2.0000,20.40,7.23
K2-19 c,1,3,0,11.90715000,0.097100,4.860,0.434,15.90000,0.05003,0.940000,0.000000,73.10,745,1,5430.00,0.86,0.93,0.100,-0.305,4.63,8.000,1.76000,2.0000,20.40,7.23
K2-19 d,1,3,0,2.50856000,0.034400,1.140,0.102,14.00000,0.04405,51.400000,0.000000,583.50,1252,1,5430.00,0.86,0.93,0.100,-0.305,4.63,8.000,1.76000,2.0000,20.40,7.23
K2-190 b,1,2,0,10.09885800,,1.357,0.121,2.41000,0.00758,5.300000,,,,0,5631.00,0.91,0.90,-0.190,-0.068,4.38,,1.48160,,,-10.64
K2-190 c,1,2,0,21.57402300,,1.093,0.098,1.34000,0.00421,5.640000,,,,0,5631.00,0.91,0.90,-0.190,-0.086,4.38,,1.48160,,,-10.64
K2-191 b,1,1,0,2.85864600,,1.579,0.141,3.12000,0.00981,4.360000,,,,0,5176.00,0.84,0.90,0.310,-0.345,4.57,,1.65547,,,-7.23
K2-192 b,1,1,0,4.16281700,0.049000,1.520,0.136,2.92000,0.00920,4.570000,,,939,0,5222.00,0.81,0.90,0.150,-0.360,4.57,,5.97500,,,0.95
K2-193 b,1,1,0,14.78688900,0.118400,3.950,0.352,14.80000,0.04650,1.320000,,,739,0,5817.00,0.98,1.01,0.000,-0.076,4.46,,1.53200,,,
K2-194 b,1,1,0,39.72138600,,3.642,0.325,12.90000,0.04050,1.470000,,,,0,5979.00,1.28,1.11,0.100,0.363,4.21,,0.75033,,,-7.95
K2-195 b,1,2,0,15.85297500,0.120800,3.130,0.279,9.96000,0.03130,1.780000,,,720,0,5713.00,0.99,0.94,-0.100,-0.012,4.42,,1.09000,,,-14.45
K2-195 c,1,2,0,28.48278600,,2.576,0.230,7.16000,0.02250,2.300000,,,,0,5712.00,0.91,0.96,-0.090,-0.053,4.55,,1.48050,,,-14.45
K2-196 b,1,1,0,48.32422200,,3.600,0.321,12.60000,0.03970,1.480000,,,,0,6045.00,1.54,1.16,0.010,0.644,4.08,,0.19854,,,-28.27
K2-197 b,1,1,0,8.35788100,0.080600,2.560,0.228,7.08000,0.02230,2.320000,,,848,0,5667.00,0.93,1.00,0.080,-0.114,4.50,,1.16000,,,-7.88
K2-198 b,1,3,0,17.04286830,,4.189,0.374,16.30000,0.05140,1.220000,,,716,0,5212.90,0.76,0.80,0.094,-0.401,4.60,,2.59636,,,2.07
K2-198 c,1,3,0,3.35960550,,1.423,0.127,2.61000,0.00822,4.980000,,,1230,0,5212.90,0.76,0.80,0.094,-0.401,4.60,,2.59636,,,2.07
K2-198 d,1,3,0,7.45001770,,2.438,0.218,6.52000,0.02050,2.470000,,,943,0,5212.90,0.76,0.80,0.094,-0.401,4.60,,2.59636,,,2.07
K2-199 b,1,2,0,3.22533800,0.038500,1.870,0.167,4.16000,0.01310,3.500000,,,861,0,4648.00,0.68,0.73,-0.110,-0.721,4.64,,2.92839,,,1.07
K2-199 c,1,2,0,7.37469400,0.066800,2.780,0.248,8.15000,0.02560,2.080000,,,653,0,4648.00,0.68,0.73,-0.110,-0.721,4.64,,2.92839,,,1.07
K2-200 b,1,1,0,2.84988300,,1.364,0.122,2.43000,0.00766,5.260000,,,,0,5233.00,0.79,0.86,-0.040,-0.429,4.71,,2.23187,,,-15.33
K2-201 b,1,2,0,1.05979000,,1.400,0.125,2.54000,0.00800,5.090000,,,,0,5507.00,0.88,0.96,0.130,-0.276,4.68,,1.87336,,,
K2-201 c,1,2,0,22.77987800,,3.286,0.293,10.80000,0.03400,1.670000,,,,0,5507.00,0.88,0.96,0.130,-0.276,4.68,,1.87336,,,
K2-202 b,1,1,0,3.40516400,,2.302,0.205,5.91000,0.01860,2.660000,,,,0,5491.00,0.91,0.97,0.270,-0.335,4.55,,1.75012,,,28.10
K2-203 b,1,1,0,9.69510100,,1.371,0.122,2.45000,0.00772,5.230000,,,,0,5000.00,0.76,0.79,-0.070,-0.485,4.43,,2.65477,,,20.19
K2-204 b,1,1,0,7.05578400,,3.046,0.272,9.51000,0.02990,1.850000,,,,0,5755.00,1.18,1.01,0.070,0.253,4.23,,0.70142,,,
K2-205 b,1,1,0,26.67226300,,1.996,0.178,4.64000,0.01460,3.210000,,,,0,5890.00,1.08,0.95,-0.260,0.194,4.25,,0.75459,,,19.70
K2-206 b,1,1,0,18.29454900,,2.795,0.249,8.22000,0.02590,2.070000,,,,0,5043.00,0.76,0.79,-0.140,-0.435,4.46,,2.39350,,,27.24
K2-207 b,1,1,0,12.48749000,,2.606,0.232,7.30000,0.02300,2.270000,,,,0,5522.00,0.93,0.94,0.110,-0.173,4.41,,1.85898,,,-4.39
K2-208 b,1,1,0,4.19094800,,1.679,0.150,3.46000,0.01090,4.020000,,,,0,5582.00,0.86,0.93,-0.110,-0.214,4.62,,2.17698,,,11.59
K2-209 b,1,1,0,2.08061500,,0.869,0.077,0.58600,0.00184,4.920000,,,,0,4720.00,0.71,0.74,-0.060,-0.588,4.46,,2.25118,,,-26.20
K2-21 b,1,2,0,9.32503800,0.076000,1.840,0.164,4.04000,0.01270,2.700000,0.100000,10.00,500,0,4222.06,0.65,0.68,-0.110,-0.985,4.83,1.000,3.16760,,,4.80
K2-21 c,1,2,0,15.50192000,0.107000,2.490,0.222,6.76000,0.02130,5.400000,0.210000,5.10,420,0,4222.06,0.65,0.68,-0.110,-0.985,4.83,1.000,3.16760,,,4.80
K2-210 b,1,1,0,0.57023300,,0.819,0.073,0.47400,0.00149,4.750000,,,,0,5396.00,0.85,0.91,0.050,-0.249,4.55,,1.94223,,,0.09
K2-211 b,1,1,0,0.66955800,,1.375,0.123,2.46000,0.00775,5.200000,,,,0,5221.00,0.82,0.88,0.110,-0.386,4.60,,2.38468,,,-13.57
K2-212 b,1,1,0,9.79551000,0.078500,2.520,0.225,6.90000,0.02170,2.370000,,,542,0,4272.00,0.65,0.67,0.030,-0.910,4.64,,4.44500,,,-6.84
K2-213 b,1,1,0,8.13087000,,1.514,0.135,2.90000,0.00913,4.590000,,,,0,5794.00,1.20,1.07,0.250,0.247,4.25,,0.64207,,,-6.30
K2-214 b,1,1,0,8.59680200,0.083400,2.430,0.217,6.48000,0.02040,2.480000,,,1006,0,5854.00,1.27,1.05,0.050,0.196,4.25,,1.08000,,,-17.07
K2-215 b,1,1,0,8.26964800,,2.124,0.189,5.16000,0.01620,2.960000,,,,0,5704.00,0.97,1.00,0.110,-0.026,4.41,,1.34077,,,
K2-216 b,1,1,0,2.17480000,0.028000,1.750,0.156,8.00000,0.02517,8.200000,0.000000,248.00,1103,0,4503.00,0.72,0.70,0.000,-0.721,4.57,,2.30000,1.8000,,-26.16
K2-217 b,1,1,0,14.07452400,,3.579,0.319,12.50000,0.03930,1.500000,,,,0,5967.00,1.33,1.10,0.040,0.232,4.17,,0.77473,,,-5.95
K2-218 b,1,1,0,8.67988500,,2.569,0.229,7.13000,0.02240,2.310000,,,,0,5757.00,1.01,1.05,0.250,-0.003,4.45,,1.21277,,,-0.34
K2-219 b,1,3,0,3.90128700,,1.348,0.120,2.38000,0.00750,5.340000,,,,0,5753.00,1.19,1.02,0.130,0.151,4.23,,0.72546,,,-19.96
K2-219 c,1,3,0,6.66767000,,1.438,0.128,2.66000,0.00837,4.910000,,,,0,5753.00,1.19,1.02,0.130,0.151,4.23,,0.72546,,,-19.96
K2-219 d,1,3,0,11.13727800,,2.576,0.230,7.16000,0.02250,2.300000,,,,0,5753.00,1.19,1.02,0.130,0.151,4.23,,0.72546,,,-19.96
K2-22 b,2,1,0,0.38107800,0.008800,2.500,0.223,444.96200,1.40000,,0.190000,114.00,2100,0,3830.00,0.57,0.60,0.030,-1.113,4.65,,3.65548,,,
K2-220 b,1,1,0,13.68325600,0.110400,2.390,0.213,6.30000,0.01980,2.540000,,,758,0,5660.00,1.02,0.96,0.040,-0.061,4.40,,3.06100,,,13.88
K2-221 b,1,1,0,2.39909400,,1.679,0.150,3.46000,0.01090,4.020000,,,,0,5716.00,0.95,1.01,0.130,-0.064,4.57,,1.28588,,,8.70
K2-222 b,1,1,0,15.38706300,0.121100,2.390,0.213,6.30000,0.01980,2.540000,,,801,0,6058.00,1.09,1.00,-0.210,0.139,4.37,,1.25000,,,1.48
K2-223 b,1,2,0,0.50565000,0.012700,0.890,0.079,0.64000,0.00201,4.990000,,,2271,0,5835.00,0.99,1.06,0.120,0.000,4.48,,1.55082,,,9.40
K2-223 c,1,2,0,4.56327000,0.054900,1.570,0.140,3.09000,0.00972,4.390000,,,1091,0,5835.00,0.99,1.06,0.120,0.000,4.48,,1.55082,,,9.40
K2-224 b,1,2,0,4.47904000,0.051600,1.560,0.139,3.05000,0.00961,4.410000,,,1002,0,5620.00,0.84,0.91,-0.190,-0.217,4.55,,2.73527,,,-17.66
K2-224 c,1,2,0,10.09489000,0.088600,2.410,0.215,6.39000,0.02010,2.510000,,,764,0,5620.00,0.84,0.91,-0.190,-0.217,4.55,,2.73527,,,-17.66
K2-225 b,1,1,0,15.87209000,0.134000,3.490,0.311,12.00000,0.03770,1.550000,,,902,0,5742.00,1.70,1.27,0.380,0.433,4.08,,0.21992,,,42.10
K2-226 b,1,1,0,3.27108000,0.041300,1.540,0.137,2.99000,0.00940,4.500000,,,1120,0,5424.00,0.91,0.88,-0.030,-0.246,4.47,,1.72343,,,16.92
K2-227 b,1,1,0,13.62183200,,1.666,0.149,3.41000,0.01070,4.060000,,,,0,5673.00,0.89,0.95,-0.100,-0.167,4.58,,1.66362,,,2.74
K2-228 b,1,1,0,2.69828000,0.033800,1.210,0.108,1.92000,0.00606,5.960000,,,914,0,4715.00,0.65,0.71,-0.250,-0.849,4.66,,4.35191,,,-2.86
K2-229 b,1,2,0,0.58426000,0.013100,1.140,0.102,2.49000,0.00783,8.900000,0.000000,,1818,0,5315.00,0.79,0.87,-0.090,-0.383,4.59,5.400,2.38000,2.4600,18.10,
K2-229 c,1,2,0,8.32727000,0.076900,2.030,0.181,21.30000,0.06702,12.800000,0.000000,,750,0,5315.00,0.79,0.87,-0.090,-0.383,4.59,5.400,2.55757,2.4600,18.10,
K2-230 b,1,1,0,2.86041000,0.040900,1.960,0.175,4.50000,0.01420,3.280000,,,1529,0,5945.00,1.39,1.11,0.100,0.339,4.20,,0.64706,5.2000,,-20.61
K2-231 b,1,1,0,13.84190100,,2.500,0.223,6.80000,0.02140,2.390000,,,,0,5695.00,0.95,1.01,0.140,-0.112,4.48,3.000,1.21128,2.0000,,41.58
K2-232 b,1,1,0,11.16845400,0.103560,11.209,1.000,126.49634,0.39800,0.405000,0.258000,,1030,0,6154.00,1.16,1.19,0.100,0.238,4.38,1.430,0.78200,4.1600,,
K2-233 b,1,3,0,2.46750000,0.033080,1.343,0.120,11.26000,0.03543,26.260000,0.079000,273.00,1121,0,5033.00,0.71,0.79,-0.090,-0.523,4.64,0.360,3.17211,4.5000,9.75,-9.65
K2-233 c,1,3,0,7.06005000,0.066660,1.281,0.114,12.81000,0.04030,33.910000,0.200200,67.10,790,0,5033.00,0.71,0.79,-0.090,-0.523,4.64,0.360,3.17211,4.5000,9.75,-9.65
K2-233 d,1,3,0,24.36450000,0.152240,2.358,0.210,21.14000,0.06651,8.850000,0.199900,12.90,523,0,5033.00,0.71,0.79,-0.090,-0.523,4.64,0.360,3.17211,4.5000,9.75,-9.65
K2-237 b,1,1,0,2.18055770,0.035300,18.405,1.642,392.83788,1.23600,0.370000,0.000000,,1838,0,6099.00,1.38,1.23,0.000,0.285,4.27,2.550,0.66300,12.0000,5.07,-22.47
K2-238 b,1,1,0,3.20466000,0.046000,14.572,1.300,273.33380,0.86000,0.560000,0.000000,,1587,0,5630.00,1.59,1.19,0.340,0.360,4.11,5.630,0.07750,3.7800,,
K2-239 b,1,3,0,5.24000000,0.044100,1.100,0.098,1.37000,0.00430,5.660000,,,502,0,3420.00,0.36,0.40,-0.100,-1.796,4.90,,19.15052,,,
K2-239 c,1,3,0,7.77500000,0.057600,1.000,0.089,0.97200,0.00306,5.340000,,,427,0,3420.00,0.36,0.40,-0.100,-1.796,4.90,,19.15052,,,
K2-239 d,1,3,0,10.11500000,0.068500,1.100,0.098,1.37000,0.00430,5.660000,,,399,0,3420.00,0.36,0.40,-0.100,-1.796,4.90,,19.15052,,,
K2-24 b,1,2,0,20.88977000,0.154000,5.400,0.482,19.00000,0.05978,0.640000,0.060000,60.10,709,1,5625.00,1.16,1.07,0.340,0.158,4.29,5.100,0.89000,2.0000,,1.18
K2-24 c,1,2,0,42.33910000,0.247000,7.500,0.669,15.40000,0.04845,0.200000,0.070000,23.40,560,1,5625.00,1.16,1.07,0.340,0.158,4.29,5.100,0.89000,2.0000,,1.18
K2-240 b,1,2,0,6.03400000,0.051300,2.000,0.178,4.66000,0.01470,3.200000,,,586,0,3810.00,0.54,0.58,-0.100,-1.276,4.70,,4.32946,,10.80,0.61
K2-240 c,1,2,0,20.52300000,0.115900,1.800,0.161,3.89000,0.01230,3.670000,,,389,0,3810.00,0.54,0.58,-0.100,-1.276,4.70,,4.32946,,10.80,0.61
K2-241 b,1,1,0,26.81990000,0.156700,2.550,0.227,7.04000,0.02210,2.330000,,,507,0,5262.00,0.75,0.71,-0.440,-0.441,4.54,,3.10999,2.0800,,-8.68
K2-242 b,1,1,0,6.51389000,0.049400,2.540,0.227,6.99000,0.02200,2.340000,,,416,0,3459.00,0.37,0.38,-0.010,-1.808,4.89,,10.34168,,,
K2-243 b,1,2,0,11.54182000,0.108700,2.170,0.194,5.35000,0.01680,2.880000,,,1035,0,6570.00,1.39,1.29,-0.030,0.446,4.26,,0.35249,,,5.79
K2-243 c,1,2,0,24.94598000,0.181700,2.010,0.179,4.70000,0.01480,3.180000,,,801,0,6570.00,1.39,1.29,-0.030,0.446,4.26,,0.35249,,,5.79
K2-244 b,1,1,0,21.06884000,0.141800,1.750,0.156,3.71000,0.01170,3.800000,,,638,0,5677.00,0.92,0.86,-0.290,-0.097,4.44,,2.11530,3.6900,,-19.25
K2-245 b,1,1,0,11.89307000,0.095900,4.340,0.387,17.40000,0.05460,1.170000,,,923,0,5793.00,1.25,0.83,-0.450,0.193,4.16,,1.01870,4.6200,,29.75
K2-246 b,1,1,0,5.76918000,0.060200,3.490,0.311,12.00000,0.03770,1.550000,,,977,0,5610.00,0.94,0.87,-0.190,-0.141,4.43,,1.68077,2.9000,,
K2-247 b,1,2,0,2.25021000,0.030400,2.120,0.189,5.14000,0.01620,2.960000,,,979,0,4667.00,0.69,0.74,-0.080,-0.833,4.63,,2.03810,,,
K2-247 c,1,2,0,6.49424000,0.061500,2.190,0.195,5.43000,0.01710,2.840000,,,688,0,4667.00,0.69,0.74,-0.080,-0.833,4.63,,2.03810,,,
K2-248 b,1,1,0,7.17256000,0.069900,2.570,0.229,7.13000,0.02240,2.310000,,,886,0,5528.00,0.92,0.88,-0.100,-0.171,4.45,,1.82647,2.6000,,
K2-249 b,1,1,0,12.40900000,0.115100,2.790,0.249,8.20000,0.02580,2.070000,,,1061,0,6504.00,1.57,1.32,0.040,0.366,4.16,,0.31728,,,-23.71
K2-25 b,1,1,0,3.48455200,,3.430,0.306,11.60000,0.03660,1.580000,0.270000,,,0,3180.00,0.29,0.29,0.150,-2.076,4.94,,15.90000,7.8000,,38.64
K2-250 b,1,1,0,4.01457000,0.045900,2.440,0.218,6.53000,0.02050,2.470000,,,958,0,5172.00,0.81,0.80,-0.090,-0.404,4.53,,1.89682,2.2000,,
K2-251 b,1,1,0,9.30075000,0.069400,2.350,0.210,6.12000,0.01930,2.590000,,,437,0,3717.00,0.49,0.52,-0.040,-1.415,4.76,,5.74380,,,
K2-252 b,1,1,0,13.81513000,0.104100,1.740,0.155,3.68000,0.01160,3.840000,,,639,0,5152.00,0.82,0.79,-0.090,-0.402,4.50,,2.04024,2.2000,,13.72
K2-253 b,1,1,0,4.00167000,0.050600,12.670,1.130,,,,,,1238,0,6027.00,1.10,1.08,0.000,-0.072,4.39,,1.01569,,,
K2-254 b,1,2,0,4.09639000,0.044800,1.630,0.145,3.29000,0.01040,4.170000,,,791,0,4629.00,0.67,0.71,-0.140,-0.765,4.64,,2.71073,,,
K2-254 c,1,2,0,12.11839000,0.092300,2.190,0.195,5.43000,0.01710,2.840000,,,551,0,4629.00,0.67,0.71,-0.140,-0.765,4.64,,2.71073,,,
K2-255 b,1,1,0,1.96417000,0.027400,2.900,0.259,8.75000,0.02750,1.970000,,,1034,0,4676.00,0.69,0.71,-0.140,-0.720,4.62,,1.94835,2.4600,,
K2-256 b,1,1,0,5.52011000,0.057800,2.630,0.235,7.41000,0.02330,2.240000,,,845,0,5219.00,0.78,0.84,-0.100,-0.465,4.58,,3.60257,,,
K2-257 b,1,1,0,1.60588000,0.021600,0.830,0.074,0.49800,0.00157,4.790000,,,789,0,3725.00,0.50,0.52,-0.030,-1.381,4.76,,5.56654,,,12.59
K2-258 b,1,1,0,19.09210000,0.149000,3.000,0.268,9.27000,0.02920,1.890000,,,831,0,6351.00,1.31,1.21,0.010,0.272,4.29,,0.56600,,,
K2-259 b,1,1,0,15.48043000,0.127100,2.320,0.207,5.99000,0.01890,2.640000,,,795,0,6059.00,1.13,1.14,0.160,0.179,4.39,,1.00719,5.2300,,
K2-26 b,1,1,0,14.56650000,0.096200,2.670,0.238,7.61000,0.02390,2.200000,,5.80,430,0,3785.00,0.52,0.56,-0.130,-1.310,4.72,1.000,3.92000,,,95.34
K2-260 b,1,1,0,2.62666570,0.040400,17.396,1.552,451.31860,1.42000,0.500000,0.000000,,1957,0,6367.00,1.69,1.39,-0.140,0.543,4.15,1.900,0.40050,16.0000,,29.07
K2-261 b,1,1,0,11.63344000,0.102000,9.528,0.850,70.87609,0.22300,0.483000,0.390000,,1080,0,5537.00,1.65,1.10,0.360,0.372,4.21,8.800,0.35000,2.8000,,3.28
K2-263 b,1,1,0,50.81894700,0.257300,2.410,0.215,14.80000,0.04657,5.700000,0.140000,,470,0,5368.00,0.85,0.88,-0.080,-0.260,4.51,7.000,2.02000,2.0000,,30.00
K2-264 b,1,2,0,5.84000200,0.050230,2.231,0.199,5.61000,0.01760,2.780000,0.500000,,496,0,3660.00,0.47,0.50,-0.013,-1.481,4.78,,6.61000,,22.20,26.00
K2-264 c,1,2,0,19.66030200,0.112830,2.668,0.238,7.60000,0.02390,2.200000,0.450000,,331,0,3660.00,0.47,0.50,-0.013,-1.481,4.78,,6.61000,,22.20,26.00
K2-265 b,2,1,0,2.36917200,0.033760,1.710,0.153,6.54000,0.02058,7.100000,0.084000,,,0,5477.00,0.98,0.92,0.078,-0.180,4.42,9.700,0.98000,,,-18.19
K2-266 b,2,4,0,0.65852400,0.013060,3.300,0.294,11.26782,0.03545,1.770000,,879.50,1515,0,4285.00,0.70,0.69,-0.120,-0.823,4.58,,2.79000,,,10.85
K2-266 c,2,4,0,7.81400000,0.067900,0.705,0.063,0.29013,0.00091,4.510000,0.042000,32.40,664,0,4285.00,0.70,0.69,-0.120,-0.823,4.58,,2.79000,,,10.85
K2-266 d,2,4,0,14.69700000,0.103500,2.930,0.261,8.90000,0.02800,2.030000,0.047000,13.95,538,1,4285.00,0.70,0.69,-0.120,-0.823,4.58,,2.79000,,,10.85
K2-266 e,2,4,0,19.48200000,0.124900,2.730,0.244,14.30000,0.04499,2.210000,0.043000,9.58,490,1,4285.00,0.70,0.69,-0.120,-0.823,4.58,,2.79000,,,10.85
K2-268 b,1,2,0,2.15189400,0.030800,1.410,0.126,2.57000,0.00809,5.040000,,,1121,0,5068.00,0.78,0.84,0.030,-0.471,4.59,,2.29940,,,
